,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
2088834,E 33 St & 5 Ave,E 33 St & 5 Ave,40.747594953,-73.984933972,40.74765947,-73.98490707,1
284554,3 Ave & E 172 St,Grand Concourse & E Mosholu Pkwy S,40.839586,-73.900277,40.877964,-73.8847550291,1
1274697,Broadway\t& W 48 St,E 45 St & 3 Ave,40.76032424,-73.984494567,40.75255434,-73.97282625,1
2110052,E 39 St & Lexington Ave,E 39 St & Lexington Ave,40.749287724,-73.976876616,40.7494985460252,-73.97729203113158,1
715036,8 Ave & W 38 St,W 35 St & 8 Ave,40.754550695,-73.99172914,40.752762088742045,-73.99280458705107,1
1462223,Central Park West & W 85 St,Harrison St & Hudson St,40.78476,-73.969862,40.71870987,-74.0090009,12
3868917,Sherman Ave & E 166 St,Tiebout Ave & E 184 St,40.831245065,-73.917506218,40.858498,-73.89637,1
4311836,W 18 St & 6 Ave,1 Ave & E 39 St,40.739720702,-73.994665861,40.74714,-73.97113,1
4849314,W Broadway & Spring St,W 133 St & 12 Ave,40.72494672359416,-74.00165855884552,40.820003,-73.959089,1
3010493,Jefferson Ave & Evergreen Ave,Hancock St & Bedford Ave,40.68989,-73.91458,40.68216564,-73.95399026,13
1811138,E 116 St & 2 Ave,Adam Clayton Powell Blvd & W 118 St,40.796900749,-73.937276602,40.804372,-73.951475,1
1257408,Broadway & W 58 St,W 55 St & 6 Ave,40.76612401,-73.981838822,40.763189,-73.978434,1
3740372,Riverside Dr & W 104 St,Riverside Dr & W 72 St,40.801277995,-73.971218824,40.78057799010334,-73.98562431335449,1
638534,7 Ave & 41 St,57 St & 4 Ave,40.647328377,-74.00084877,40.642622,-74.016866,1
4149796,Vesey St & Church St,E 6 St & Avenue D,40.712308407,-74.010480642,40.72228087,-73.97668709,1
1185026,Broadway & W 36 St,W 15 St & 10 Ave,40.750727773,-73.987844944,40.74275382865903,-74.00747358798981,1
4474850,W 34 St & Hudson Blvd E,Barrow St & Hudson St,40.755203009,-74.000816464,40.73172428,-74.00674436,1
3695643,Pulaski St & Marcus Garvey Blvd,Carroll St & Smith St,40.693364382,-73.939956546,40.680611,-73.99475825,1
4875041,Walton Ave & E 153 St,Amsterdam Ave & W 183 St,40.822302341,-73.926958323,40.84925,-73.93022,1
3718725,Reade St & Broadway,William St & Pine St,40.714559555,-74.005781651,40.70717936,-74.00887308,1
3006900,Jay St & York St,Duffield St & Willoughby St,40.7010988,-73.986744285,40.69221589,-73.9842844,1
1851510,E 138 St & 5 Av,W 120 St & Claremont Ave,40.81449,-73.936153,40.8109494,-73.9634,1
787978,Adam Clayton Powell Blvd & W 141 St,Edgecombe Ave & W 145 St,40.819334626,-73.94107008,40.823498,-73.94386,1
1878372,E 149 St & Morris Ave,E 174 St & Longfellow Ave,40.817404151,-73.92308116,40.836274,-73.884308,1
3379939,Metropolitan Ave & Bedford Ave,Hope St & Union Ave,40.715352178,-73.960257173,40.71167351,-73.95141312,1
63312,1 Ave & E 68 St,E 81 St & Park Ave,40.76500082,-73.958076,40.77677702,-73.9590097,1
3266337,Macombs Rd & Featherbed Ln,Nelson Ave & W 172 St,40.845572352,-73.917292476,40.843965,-73.920999,1
1945251,E 170 St & Sheridan Ave,University Ave & W 168 St,40.838272333,-73.912417293,40.838706,-73.927034,1
1995322,E 20 St & FDR Dr,E 55 St & 2 Ave,40.733311772,-73.975817442,40.75797322,-73.96603308,1
4953882,Water St & Main St,Old Fulton St,40.70326972,-73.990299106,40.70277159,-73.99383605,1
3789523,Rogers Ave & Sterling St,Rogers Ave & Sterling St,40.663135171,-73.953852415,40.6630619,-73.9538746,1
236568,21 St & Hoyt Ave S,19 St & 24 Ave,40.774736524,-73.923596382,40.7774552,-73.9225403,1
3838854,Schermerhorn St & Court St,Bergen St & 4 Ave,40.691056728,-73.992100596,40.68256425759694,-73.9798977971077,1
333585,31 Ave & 61 St,21 St & 21 Ave,40.757536769,-73.901419044,40.782465,-73.914527,1
4393851,W 25 St & 6 Ave,11 Ave & Prospect Ave,40.74395411,-73.99144871,40.65629,-73.977335,11
3730046,Riverside Blvd & W 67 St,1 Ave & E 68 St,40.777823687,-73.988860488,40.76500525,-73.95818491,1
618403,6 Ave & Walker St,Franklin St & Dupont St,40.719778657,-74.005205035,40.73564,-73.95866,1
938974,Avenue D & E 3 St,E 2 St & Avenue B,40.720749974,-73.97796917,40.72217444,-73.98368779,1
3442924,Morton St & West St,10 Ave & W 28 St,40.731454372,-74.010975003,40.75066386,-74.00176802,1
2230795,E 51 St & 2 Ave,Bleecker St & Crosby St,40.755349636,-73.967575669,40.72615604980408,-73.99510189890862,1
