start_station_name,value
W 21 St & 6 Ave,131475
West St & Chambers St,126019
Broadway & W 58 St,117528
6 Ave & W 33 St,109325
1 Ave & E 68 St,108238
Broadway & E 14 St,100895
Broadway & W 25 St,100554
University Pl & E 14 St,99905
Broadway & E 21 St,97790
W 31 St & 7 Ave,95966
E 33 St & 1 Ave,93781
Cleveland Pl & Spring St,92669
12 Ave & W 40 St,92347
6 Ave & W 34 St,92245
11 Ave & W 41 St,90003
West St & Liberty St,89223
Lafayette St & E 8 St,89175
Central Park S & 6 Ave,88819
8 Ave & W 33 St,88596
E 40 St & Park Ave,87578
